Experiment,SubNum,Include,rt_0.0,rt_0.1,rt_0.2,rt_0.3,rt_0.4,rt_0.5,rt_0.6,rt_0.7,rt_0.8,rt_0.9,rt_1.0,response_mean_0.0,response_mean_0.1,response_mean_0.2,response_mean_0.3,response_mean_0.4,response_mean_0.5,response_mean_0.6,response_mean_0.7,response_mean_0.8,response_mean_0.9,response_mean_1.0,difference_mean_0.0,difference_mean_0.1,difference_mean_0.2,difference_mean_0.3,difference_mean_0.4,difference_mean_0.5,difference_mean_0.6,difference_mean_0.7,difference_mean_0.8,difference_mean_0.9,difference_mean_1.0,response_std_0.0,response_std_0.1,response_std_0.2,response_std_0.3,response_std_0.4,response_std_0.5,response_std_0.6,response_std_0.7,response_std_0.8,response_std_0.9,response_std_1.0,response_median_0.0,response_median_0.1,response_median_0.2,response_median_0.3,response_median_0.4,response_median_0.5,response_median_0.6,response_median_0.7,response_median_0.8,response_median_0.9,response_median_1.0,difference_median_0.0,difference_median_0.1,difference_median_0.2,difference_median_0.3,difference_median_0.4,difference_median_0.5,difference_median_0.6,difference_median_0.7,difference_median_0.8,difference_median_0.9,difference_median_1.0,response_mad_0.0,response_mad_0.1,response_mad_0.2,response_mad_0.3,response_mad_0.4,response_mad_0.5,response_mad_0.6,response_mad_0.7,response_mad_0.8,response_mad_0.9,response_mad_1.0,key_press_p1_x_0.0,key_press_p1_x_0.1,key_press_p1_x_0.2,key_press_p1_x_0.3,key_press_p1_x_0.4,key_press_p1_x_0.5,key_press_p1_x_0.6,key_press_p1_x_0.7,key_press_p1_x_0.8,key_press_p1_x_0.9,key_press_p1_x_1.0,key_press_p1_y_0.0,key_press_p1_y_0.1,key_press_p1_y_0.2,key_press_p1_y_0.3,key_press_p1_y_0.4,key_press_p1_y_0.5,key_press_p1_y_0.6,key_press_p1_y_0.7,key_press_p1_y_0.8,key_press_p1_y_0.9,key_press_p1_y_1.0,correlation_x_0.0,correlation_x_0.1,correlation_x_0.2,correlation_x_0.3,correlation_x_0.4,correlation_x_0.5,correlation_x_0.6,correlation_x_0.7,correlation_x_0.8,correlation_x_0.9,correlation_x_1.0,correlation_y_0.0,correlation_y_0.1,correlation_y_0.2,correlation_y_0.3,correlation_y_0.4,correlation_y_0.5,correlation_y_0.6,correlation_y_0.7,correlation_y_0.8,correlation_y_0.9,correlation_y_1.0,Sim_x_mean,Sim_x_std,Sim_x_min,Sim_x_max,Sim_y_mean,Sim_y_std,Sim_y_min,Sim_y_max,,,,,,,,,,,
1,13,1,3775.6,2753.4,2654,2675.8,2511,3427,4121.2,2723.8,2453.4,2864.8,3716.6,1.8,8.6,11.6,19,20.2,23,42.8,49,67.8,65.2,96.8,1.8,-1.4,-8.4,-11,-19.8,-27,-17.2,-21,-12.2,-24.8,-3.2,3.492849839,5.899152482,6.14817046,6.819090848,15.35252422,4.636809248,8.043631021,20.18662924,17.36951352,20.02997753,7.155417528,0,9,14,22,13,23,43,50,74,72,100,0,-1,-6,-8,-27,-27,-17,-20,-6,-18,0,2.48,4.48,5.28,5.2,11.84,2.8,6.24,13.6,14.64,14.08,5.12,27.8,30.6,26.2,24.6,22,22.2,16,15.6,15.8,16.2,17,22.8,26.4,27.6,23.2,18.4,19.8,15.6,15.4,16.8,16.2,16.6,-0.103996825,-0.129824665,-0.136753655,-0.01476347,-0.037878971,-0.025690754,-0.217024636,-0.148046171,0.002808882,-0.147405215,0.143009248,-0.103860682,-0.076626003,-0.036187183,0.009814952,0.058926697,-0.110223579,-0.061571525,0.165203336,-0.024642974,-0.079880946,0.067758279,6.672727273,1.743289201,3,12,7.036363636,1.699276931,2,12,,,,,,,,,,,
1,14,1,2788.2,3316.6,4936,2677.4,3836,3063.8,3277.2,3500.8,2609.8,2804.4,2829.4,5,2.4,3.4,28.8,44.8,61,82.4,87.6,99.6,97.4,100,5,-7.6,-16.6,-1.2,4.8,11,22.4,17.6,19.6,7.4,0,11.18033989,3.911521443,7.602631123,38.98332977,33.36465195,31.40063694,14.01071019,10.11434625,0.894427191,3.435112807,0,0,0,0,1,61,71,80,88,100,99,100,0,-10,-20,-29,21,21,20,18,20,9,0,8,2.88,5.44,34.16,28.64,23.2,11.28,7.28,0.64,2.72,0,10.6,9.8,11,9.6,8,8.8,15.4,17,12.6,13.8,11.4,9.4,9,8.4,8.6,7.2,8.2,14.2,15.6,17.8,14,16,-0.088966915,-0.005386018,-0.16572033,-0.017273932,-0.267664906,0.103995614,-0.003827092,0.080904595,0.259733377,0.088941611,0.096203391,0.128466712,-0.001924252,-0.116361355,-0.159054469,0.285244056,-0.155903106,-0.005597531,0.019131115,-0.030279237,-0.046649711,0.044023019,6.854545455,1.957115998,2,10,6.636363636,1.849560872,3,10,,,,,,,,,,,
1,15,1,2653.4,2427.2,2958.4,2921.6,2861.8,3176.2,2934.6,3137,2927.6,12949.4,6118.8,0,0,6,3.2,17,35.2,66.2,79.8,93.6,89.6,94,0,-10,-14,-26.8,-23,-14.8,6.2,9.8,13.6,-0.4,-6,0,0,6.519202405,3.033150178,18.56071119,20.77739156,15.8965405,17.55562588,3.78153408,13.99285532,12.86468033,0,0,4,4,7,40,62,82,94,95,100,0,-10,-16,-26,-33,-10,2,12,14,5,0,0,0,4.4,2.56,15.6,17.36,11.04,11.92,2.88,9.84,9.2,17.6,17.6,18.8,16.4,17.4,16.6,16.8,17,17.2,16.6,17.6,18.4,18,20.4,17.4,19.8,17,22,21,24,24.2,26,-0.048437465,0.021153944,-0.088047286,-0.047910462,-0.160263737,-0.006730956,-0.09318696,-0.146337752,-0.016442929,0.029582066,-0.048926038,-0.165401793,-0.222041236,-0.107645699,-0.237476198,-0.133476814,-0.123999953,-0.026595342,-0.105049079,-0.029052425,0.046547075,0.038341913,7.127272727,1.836406974,4,11,7.109090909,1.728548173,3,11,,,,,,,,,,,
1,17,1,2424.8,2447.6,3415.6,2559.4,2566.8,3326,2632.4,3099.6,3256.6,3181.2,3512,3.2,2.8,10.4,11,38.6,40.8,80.6,80.4,88.2,93.8,100,3.2,-7.2,-9.6,-19,-1.4,-9.2,20.6,10.4,8.2,3.8,0,5.630275304,3.834057903,4.979959839,11.46734494,20.95948473,25.24282076,6.107372594,2.302172887,4.086563348,3.563705936,0,0,1,12,6,30,29,79,80,86,92,100,0,-9,-8,-24,-10,-21,19,10,6,2,0,3.92,2.96,3.52,8,17.92,20.96,4.16,1.68,3.44,2.96,0,14,15.6,12.2,13.6,10,11.4,12.2,14.2,16.6,14.8,16.8,23,13.4,19.2,12.4,10.8,14.8,13.2,14,21.8,15.4,21.4,-0.063709377,-0.267402741,-0.102284002,0.153975064,0.033523046,0.045944364,0.205719658,0.120871761,0.11898161,-0.07279023,-0.023937577,-0.040525965,-0.037825996,-0.036747002,0.046759732,0.099454984,0.120527359,-0.102680402,0.003952608,-0.12818641,0.088528831,-0.086396022,6.854545455,1.918894182,3,11,6.727272727,1.660595001,4,11,,,,,,,,,,,
1,18,1,3897,3466.2,3425,3090.8,2773.6,3534.4,3210.2,3119.6,3157.4,3503.4,3408,1.6,4,11.4,18.2,21.8,35.4,29.8,63.6,85.4,93.8,100,1.6,-6,-8.6,-11.8,-18.2,-14.6,-30.2,-6.4,5.4,3.8,0,3.577708764,5.522680509,22.7112307,18.06100772,14.07835218,22.89759813,10.80277742,23.26585481,13.16434579,3.033150178,0,0,0,2,15,16,29,31,59,90,96,100,0,-10,-18,-15,-24,-21,-29,-11,10,6,0,2.56,4.8,16.24,14.24,9.76,17.68,7.84,18.32,9.12,2.64,0,14.2,8.4,11.2,11,12.4,6.8,7.6,7.4,5.6,6.4,9.6,20.4,15,9.2,9.4,6,10.6,7,8.6,8.8,7.2,7.4,0.07976725,0.086807841,0.064538648,0.171032578,0.140622804,0.180298534,-0.191399196,-0.001199329,-0.046410505,0.114121865,0.060124669,0.009766847,0.131048982,-0.048686677,-0.08039157,0.231434185,0.186663958,0.113448992,0.034868142,-0.084235974,0.062172693,0.122994391,7,1.527525232,4,10,6.654545455,1.493419911,2,9,,,,,,,,,,,
1,19,1,2160.8,3929.6,3117,1786.4,3354.2,2758.8,2091.6,2177.2,2559.6,12851,3083.4,4.4,1.8,12.2,11.6,13.6,31.2,51.6,60.2,83,96.2,100,4.4,-8.2,-7.8,-18.4,-26.4,-18.8,-8.4,-9.8,3,6.2,0,9.838699101,1.923538406,14.00714104,12.62141038,16.65232716,17.68332548,15.69394788,23.63683566,13.72953022,1.788854382,0,0,1,4,7,5,35,53,65,87,96,100,0,-9,-16,-23,-35,-15,-7,-5,7,6,0,7.04,1.36,11.84,8.96,13.52,12.96,12.08,15.28,11.6,1.44,0,15,14.8,13,12.6,12.2,10.8,10.8,11,12,12.8,14,10.6,16.4,12.2,14.2,13,12.2,12,14.6,13,13,16,-0.013156521,-0.044427543,-0.20824292,-0.109469757,-0.03380604,-0.294116355,-0.077978882,-0.084381147,-0.130947618,0.041108254,-0.048940754,-0.193405051,-0.054970797,-0.089106889,-0.209771752,-0.243279036,-0.345746162,-0.18059006,-0.17220611,-0.06890958,-0.069790328,0.004472514,6.818181818,1.836773632,4,13,6.509090909,1.741356722,3,10,,,,,,,,,,,
1,20,1,2543.6,3560.2,3695.2,3904.2,2190.6,3295,8399.2,3021,4282.8,2598.8,2389.6,12.4,17.6,24.4,22.2,36,31.2,42.6,82.4,71.4,71.6,98.2,12.4,7.6,4.4,-7.8,-4,-18.8,-17.4,12.4,-8.6,-18.4,-1.8,12.09545369,8.384509527,5.54977477,7.918333158,13.28533026,7.328028384,11.8025421,4.722287581,27.30018315,39.34844343,4.024922359,16,19,25,22,35,31,47,82,80,91,100,16,9,5,-8,-5,-19,-13,12,0,1,0,9.52,5.44,4.32,5.44,10.8,5.44,8.24,3.28,18.72,27.84,2.88,15,17.6,15.2,13.4,17.8,16.6,17,20.2,24.6,14,19.6,13.6,12.4,10,13,15.8,13.2,16.2,17.6,18,13.4,19.4,-0.143790329,0.023775509,-0.077323191,-0.139994706,-0.011970939,-0.169380089,-0.235325452,0.006242378,-0.096362203,-0.036368705,0.093918553,-0.102790398,-0.181059719,0.017840982,0.139946933,0.133605573,-0.065816673,-0.135459755,0.139265483,-0.175574231,-0.053392647,-0.126905492,6.981818182,1.909924461,3,10,6.763636364,1.731661976,3,11,,,,,,,,,,,
1,21,1,3010.2,3013.2,4001.2,3319,2769,3689.4,2631.6,2691.2,3546.6,3072.6,3273.6,0,6.8,13.8,11.4,14.4,37.2,46.4,55.6,84.4,87.4,100,0,-3.2,-6.2,-18.6,-25.6,-12.8,-13.6,-14.4,4.4,-2.6,0,0,5.89067059,7.120393248,13.01153335,4.615192304,16.88786547,19.53970317,10.31018914,6.580273551,4.774934555,0,0,7,18,5,14,40,48,51,87,88,100,0,-3,-2,-25,-26,-10,-12,-19,7,-2,0,0,4.64,5.84,9.04,3.68,12.96,15.52,7.92,5.12,3.52,0,40.4,18.2,24.4,16.4,14.8,14.2,13.4,14.8,12.8,15.2,14.2,32.4,31.6,22.6,10.4,21.4,12.4,13.6,13.4,11.4,14.6,11.4,-0.128983114,-0.025582368,-0.032149293,0.072462356,-0.005333377,-0.003769409,-0.242035962,-0.277275174,-0.040277792,-0.038656584,-0.023319476,-0.041973081,-0.056674026,-0.020364246,-0.088011341,-0.055810325,0.16652153,-0.087323404,-0.247319073,-0.203249338,-0.102110894,0.11218923,7.327272727,1.644908479,4,12,6.854545455,1.59185638,2,11,,,,,,,,,,,
1,22,1,3587.2,3368.6,3136.2,3497,2805.8,3425.8,3537,2878.6,3527.4,3273.8,4017,1.6,9.4,13.4,5.2,43.6,40.2,59.4,73,93.2,100,100,1.6,-0.6,-6.6,-24.8,3.6,-9.8,-0.6,3,13.2,10,0,2.302172887,13.92120684,12.87633488,2.28035085,35.40903839,3.898717738,11.9707978,27.30384588,5.357238094,0,0,0,0,16,6,63,40,61,81,96,100,100,0,-10,-4,-24,23,-10,1,11,16,10,0,1.92,11.28,10.72,1.76,30.48,3.04,8.32,18.4,4.56,0,0,19,16.2,8.6,17,9.4,8.4,7.6,9.6,9.4,11.2,8,15.2,15.8,7.6,10,16,8.4,8.4,11.6,9,11.6,8.8,-0.000959006,0.053340102,0.021429377,-0.00137388,-0.033545884,0.095969887,-0.027778507,0.074426202,0.035030977,-0.065033589,0.141583122,-0.149559807,0.131378908,0.080954601,-0.120439144,0.189616474,-0.001981049,-0.012231031,-0.112662431,0.104787032,-0.089715119,0.069635829,6.945454545,2.067546245,3,11,7.090909091,1.5064396,4,10,,,,,,,,,,,
1,23,1,2864,4018,3487.6,3248,3444,3435.2,4313.4,3819.8,3186,3462.6,2974.4,0.2,7,5.2,19.2,30.8,30.6,57.6,75.2,93.2,96.6,100,0.2,-3,-14.8,-10.8,-9.2,-19.4,-2.4,5.2,13.2,6.6,0,0.447213595,8.746427842,2.863564213,11.27829774,21.22969618,16.56200471,24.4908146,12.79453008,13.59043781,4.50555213,0,0,1,5,21,23,23,57,78,100,97,100,0,-9,-15,-9,-17,-27,-3,8,20,7,0,0.32,7.6,1.84,8.56,16.56,13.92,15.12,10.56,9.68,3.04,0,5.2,4.6,6,9,9.2,7.6,10.2,9.2,17.6,16.6,17.2,6,5.2,7.8,5.2,9.6,8.6,8.4,10.8,18.2,17.6,20.6,0.014182109,0.102945258,0.109391449,-0.028992405,0.130297194,0.032928486,0.121095341,0.118006705,0.010500185,-0.011716299,-0.041179232,0.074726873,0.096784103,0.221525837,-0.022378302,-0.157997883,-0.112506796,-0.183038567,0.029319923,-0.03738338,-0.084139459,-0.072003489,6.909090909,1.613286584,4,10,7.163636364,1.30190226,4,9,,,,,,,,,,,
