,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Confidence,Confidence_RT,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
18,1,1,18,125,survey-likert,125,1206568,2864.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,5,3021.0,10.0,6.0,5.0,10.0,0.1749136012588349,0.1466953877313504,3
15,1,1,15,185,survey-likert,185,1409167,2955.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,3,1821.0,4.0,6.0,9.0,4.0,0.16935423632498015,0.06457435645037977,4
16,1,1,16,213,survey-likert,213,1503639,2454.0,100.0,0.3,question_agency,question_agency_2_Lickert,70.0,38,1151.0,6.0,6.0,10.0,7.0,-0.15959914125861868,0.05319528144188999,5
20,1,1,20,53,survey-likert,53,956194,2105.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,26,2860.0,8.0,7.0,9.0,10.0,0.020222996480111766,-0.04883378297262926,1
22,1,1,22,93,survey-likert,93,1095227,4370.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,0,2012.0,6.0,7.0,12.0,7.0,-0.269395016135394,-0.15608834855855053,2
23,1,1,23,137,survey-likert,137,1248884,2235.0,100.0,0.4,question_agency,question_agency_2_Lickert,60.0,73,1619.0,8.0,9.0,5.0,9.0,0.41288606522949806,0.46841879798197444,3
21,1,1,21,153,survey-likert,153,1301017,2122.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,5,1704.0,9.0,6.0,4.0,15.0,0.10203789281394966,-0.14155832974632976,4
24,1,1,24,233,survey-likert,233,1572119,3163.0,100.0,0.4,question_agency,question_agency_2_Lickert,60.0,50,6766.0,9.0,9.0,9.0,4.0,0.23239740270507697,0.30795068740437864,5
25,1,1,25,29,survey-likert,29,872125,3313.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,19,1104.0,6.0,7.0,15.0,5.0,0.054686562637587505,0.12683879826619449,1
26,1,1,26,105,survey-likert,105,1134953,2383.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,60,1399.0,7.0,6.0,11.0,17.0,0.17891034850401352,-0.3913416451387523,2
28,1,1,28,117,survey-likert,117,1179769,2166.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,63,1733.0,6.0,7.0,34.0,5.0,-0.08171351685991189,-0.09855489266773074,3
27,1,1,27,193,survey-likert,193,1437065,1989.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,58,1394.0,7.0,7.0,12.0,6.0,0.24835679154365287,0.11411061959729024,4
29,1,1,29,221,survey-likert,221,1529271,2796.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,80,2576.0,8.0,7.0,6.0,7.0,0.25668702531229537,-0.02435024270510916,5
34,1,1,34,45,survey-likert,45,926233,2496.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,71,3875.0,8.0,6.0,8.0,9.0,0.24536082317935073,0.13775337429397738,1
31,1,1,31,73,survey-likert,73,1024814,1846.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,87,3083.0,7.0,6.0,8.0,5.0,0.38914709807213144,0.35995245298256207,2
33,1,1,33,145,survey-likert,145,1275631,2687.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,80,1506.0,6.0,12.0,8.0,8.0,-0.2674979346029988,0.4743828429218286,3
32,1,1,32,165,survey-likert,165,1342840,2195.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,78,1186.0,5.0,8.0,6.0,8.0,-0.17405262448047654,0.10704562013146676,4
30,1,1,30,197,survey-likert,197,1449396,1928.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,86,1605.0,7.0,5.0,9.0,6.0,-0.2207731640626688,0.4019631020491765,5
38,1,1,38,57,survey-likert,57,969996,1931.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,86,1979.0,4.0,6.0,6.0,9.0,-0.5900668559050671,0.1824420596528152,1
37,1,1,37,81,survey-likert,81,1052142,2325.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,71,1284.0,7.0,4.0,7.0,7.0,-0.32839865469480095,0.3137719110008152,2
36,1,1,36,121,survey-likert,121,1192877,2365.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,87,1821.0,6.0,7.0,10.0,9.0,0.5918682676955606,0.30602988948517257,3
39,1,1,39,157,survey-likert,157,1314055,2326.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,77,2644.0,6.0,8.0,11.0,8.0,-0.03830020242147101,-0.06520387991950187,4
35,1,1,35,205,survey-likert,205,1476596,3210.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,88,2288.0,8.0,6.0,7.0,8.0,0.5401301663662275,0.05088265259787408,5
43,1,1,43,49,survey-likert,49,941712,2592.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,99,3367.0,4.0,5.0,7.0,6.0,-0.05629767361017419,-0.17097931622540374,1
41,1,1,41,69,survey-likert,69,1011632,2428.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,100,2325.0,5.0,7.0,6.0,10.0,-0.5273180248635347,0.21890111512253035,2
44,1,1,44,109,survey-likert,109,1148397,3036.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,97,4312.0,6.0,8.0,8.0,10.0,0.4923418322545273,-0.04164007781786873,3
40,1,1,40,173,survey-likert,173,1369442,2685.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,87,1322.0,6.0,6.0,5.0,7.0,0.03386836922169355,-0.17630807530114534,4
42,1,1,42,209,survey-likert,209,1490056,2164.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,95,2121.0,8.0,6.0,7.0,9.0,-0.16418853717220344,0.12461485286973151,5
46,1,1,46,21,survey-likert,21,840651,2596.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,100,4588.0,9.0,7.0,6.0,5.0,-0.45862786513883064,-0.22498787028743725,1
48,1,1,48,85,survey-likert,85,1064658,2223.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,93,2169.0,5.0,7.0,6.0,7.0,-0.18841946103107673,0.08550408379983135,2
49,1,1,49,129,survey-likert,129,1220953,2352.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,96,3205.0,9.0,7.0,6.0,6.0,0.4705082847154918,0.02025110717209207,3
47,1,1,47,177,survey-likert,177,1381813,2039.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,100,2331.0,5.0,5.0,13.0,8.0,0.3318074088491324,0.6508045659858644,4
45,1,1,45,217,survey-likert,217,1516012,2212.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,78,1455.0,10.0,10.0,6.0,7.0,-0.21090099921989966,0.24044300291347978,5
53,1,1,53,61,survey-likert,61,983245,2261.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,3243.0,7.0,5.0,8.0,10.0,0.2996551731055601,-0.17083881837193138,1
52,1,1,52,89,survey-likert,89,1078308,2472.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,3555.0,11.0,9.0,8.0,18.0,0.13243634488728162,0.33097541974417893,2
51,1,1,51,141,survey-likert,141,1261708,2198.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,2228.0,6.0,5.0,10.0,9.0,0.21017556577675012,0.36811757682491747,3
50,1,1,50,189,survey-likert,189,1422553,2557.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,3514.0,6.0,8.0,11.0,10.0,0.11869793180710185,-0.25071460624540326,4
54,1,1,54,201,survey-likert,201,1462071,2063.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,2304.0,6.0,7.0,10.0,11.0,0.3185227889415988,-0.38338251527024886,5
0,2,1,0,25,survey-likert,25,159796,3252.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,86,3170.0,8.0,7.0,4.0,8.0,-0.16710818883660086,-0.12153057068242745,1
3,2,1,3,101,survey-likert,101,427274,3669.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,99,1698.0,6.0,8.0,3.0,4.0,-0.03275606525547325,0.3145183964410177,2
1,2,1,1,149,survey-likert,149,602159,2318.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,79,1851.0,5.0,8.0,2.0,14.0,0.44921290459443297,-0.10158143316676194,3
2,2,1,2,157,survey-likert,157,628583,3047.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,91,2414.0,6.0,8.0,14.0,5.0,0.22885004258589142,0.3936826743954571,4
4,2,1,4,201,survey-likert,201,783897,2379.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,3399.0,6.0,8.0,0.0,7.0,0.0,0.2141287117944587,5
5,2,1,5,61,survey-likert,61,288638,2578.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,93,1856.0,6.0,5.0,15.0,39.0,0.28143698123058614,-0.3614719104546472,1
6,2,1,6,85,survey-likert,85,372209,3107.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,89,2101.0,6.0,5.0,22.0,29.0,-0.08044688321620305,-0.06083101711560526,2
8,2,1,8,125,survey-likert,125,509756,1980.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,96,1502.0,8.0,5.0,11.0,17.0,0.2525371934773055,-0.1482472635233027,3
7,2,1,7,169,survey-likert,169,672505,3266.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,97,1787.0,3.0,4.0,9.0,10.0,0.35101944130681223,-0.4947449899138161,4
9,2,1,9,209,survey-likert,209,814519,2217.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,97,3926.0,6.0,6.0,2.0,18.0,0.24905991272466416,-0.10253122154057137,5
11,2,1,11,37,survey-likert,37,206785,2813.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,87,2055.0,8.0,7.0,6.0,35.0,-0.22885762033021126,-0.1410952577323005,1
14,2,1,14,93,survey-likert,93,399536,2296.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,91,1438.0,4.0,7.0,13.0,6.0,0.03155088684195411,0.3438361618711772,2
12,2,1,12,145,survey-likert,145,589027,2265.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,78,1802.0,8.0,8.0,4.0,4.0,0.12245707976213929,0.1702169364549265,3
10,2,1,10,193,survey-likert,193,757135,2681.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,97,1993.0,5.0,5.0,13.0,20.0,0.3177424479054368,0.4632081240340777,4
13,2,1,13,229,survey-likert,229,883954,2636.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,97,1751.0,10.0,7.0,8.0,26.0,0.14124183566196077,-0.13619885662736395,5
19,2,1,19,21,survey-likert,21,139604,10887.0,100.0,0.3,question_agency,question_agency_2_Lickert,70.0,69,7799.0,6.0,5.0,10.0,20.0,-0.35804180881563735,0.13992731371051798,1
15,2,1,15,65,survey-likert,65,302030,2413.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,86,1842.0,7.0,9.0,26.0,21.0,0.21251981045489515,0.16681260209124055,2
17,2,1,17,133,survey-likert,133,544188,3346.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,99,2113.0,5.0,8.0,2.0,4.0,-0.0178281145347962,0.15024469112419514,3
18,2,1,18,185,survey-likert,185,730066,3198.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,97,1761.0,8.0,6.0,4.0,15.0,-0.14022197622819751,0.046553003173021745,4
16,2,1,16,213,survey-likert,213,829309,1853.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,98,1841.0,5.0,7.0,2.0,15.0,0.2508992511319773,-0.2078851024874555,5
23,2,1,23,33,survey-likert,33,189406,2368.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,67,5554.0,8.0,8.0,19.0,36.0,-0.06446201318166113,0.0040834607307776985,1
24,2,1,24,89,survey-likert,89,385610,2289.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,41,2621.0,7.0,5.0,9.0,15.0,0.07201162265628921,0.13248122349353403,2
21,2,1,21,141,survey-likert,141,575717,2851.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,88,2032.0,8.0,9.0,14.0,10.0,0.25116345529971423,-0.1938204670762078,3
20,2,1,20,161,survey-likert,161,642402,2390.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,68,2178.0,5.0,8.0,17.0,18.0,0.1711177952793898,0.14920795413346405,4
22,2,1,22,237,survey-likert,237,910775,2597.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,81,2396.0,6.0,8.0,7.0,14.0,0.4532882674488509,0.06825902253903467,5
26,2,1,26,29,survey-likert,29,174483,2504.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,92,3541.0,8.0,6.0,18.0,31.0,-0.02671093875275328,-0.23954939423746865,1
29,2,1,29,73,survey-likert,73,329482,3012.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,94,1708.0,9.0,6.0,9.0,9.0,-0.007864455269757027,0.129524608001953,2
25,2,1,25,129,survey-likert,129,524583,4315.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,58,7246.0,6.0,9.0,8.0,12.0,-0.06776237674303408,0.142981340708949,3
28,2,1,28,177,survey-likert,177,701223,3144.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,93,1950.0,5.0,5.0,17.0,13.0,-0.12201846452894495,0.33206437607238176,4
27,2,1,27,233,survey-likert,233,897251,2535.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,95,1915.0,7.0,6.0,2.0,6.0,0.3841619599688019,0.2761635479898209,5
30,2,1,30,41,survey-likert,41,221332,3477.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,79,2151.0,8.0,8.0,13.0,42.0,0.037451700169469845,0.012039335378853828,1
32,2,1,32,69,survey-likert,69,315105,2223.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,86,2354.0,9.0,6.0,6.0,12.0,-0.14058294873610327,-0.29024557105809334,2
34,2,1,34,137,survey-likert,137,558286,2969.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,57,5570.0,4.0,8.0,6.0,10.0,0.08243256500418822,-0.5050867526909747,3
33,2,1,33,173,survey-likert,173,685919,2620.0,100.0,0.6,question_agency,question_agency_2_Lickert,40.0,83,3152.0,6.0,5.0,5.0,13.0,0.015771941950330104,-0.31841238071522543,4
31,2,1,31,205,survey-likert,205,800441,4131.0,0.0,0.6,question_agency,question_agency_2_Lickert,-60.0,83,2844.0,6.0,6.0,4.0,9.0,-0.5542401454561966,-0.5661357735855315,5
39,2,1,39,49,survey-likert,49,248170,2743.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,81,3023.0,6.0,5.0,7.0,12.0,0.5298879852001781,-0.005410622469763366,1
38,2,1,38,105,survey-likert,105,440375,2394.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,94,2150.0,9.0,9.0,2.0,8.0,0.3565607361859268,0.3840186198164078,2
35,2,1,35,117,survey-likert,117,483070,3000.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,95,1850.0,2.0,4.0,3.0,34.0,0.4808935879266811,0.26732418883280384,3
36,2,1,36,165,survey-likert,165,657158,3570.0,0.0,0.7,question_agency,question_agency_2_Lickert,-70.0,63,3082.0,7.0,10.0,6.0,8.0,-0.014292863101986589,0.20299868479382707,4
37,2,1,37,221,survey-likert,221,857241,2286.0,100.0,0.7,question_agency,question_agency_2_Lickert,30.0,74,2295.0,8.0,9.0,9.0,6.0,0.05208734986101247,0.5156829731198201,5
42,2,1,42,45,survey-likert,45,234715,2219.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,87,1703.0,7.0,9.0,14.0,14.0,0.14112856141963903,-0.07868558187939097,1
40,2,1,40,77,survey-likert,77,342949,2751.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,78,3186.0,7.0,7.0,7.0,12.0,0.21407950262634115,0.6936096218676097,2
43,2,1,43,113,survey-likert,113,468785,2892.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,89,2264.0,7.0,6.0,4.0,4.0,-0.42614575664304594,0.13995850732724438,3
44,2,1,44,189,survey-likert,189,743599,2758.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,96,1797.0,10.0,9.0,6.0,8.0,0.04112618070326885,-0.5008167465577091,4
41,2,1,41,217,survey-likert,217,842771,2546.0,100.0,0.8,question_agency,question_agency_2_Lickert,20.0,100,3174.0,7.0,5.0,1.0,5.0,-0.31590421851392936,0.3023309062212445,5
46,2,1,46,53,survey-likert,53,262471,2168.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,95,1574.0,7.0,7.0,6.0,11.0,0.24763454599198123,0.11037608491804385,1
47,2,1,47,97,survey-likert,97,412639,2655.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,96,1860.0,9.0,6.0,8.0,8.0,0.24943446456164972,0.133449443754024,2
48,2,1,48,121,survey-likert,121,496123,2191.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,97,2648.0,6.0,8.0,4.0,19.0,0.5306958285361613,-0.14484146575380186,3
45,2,1,45,153,survey-likert,153,614989,1966.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,97,1537.0,7.0,9.0,5.0,6.0,0.3687932824331371,-0.21228719874042593,4
49,2,1,49,225,survey-likert,225,870519,1971.0,100.0,0.9,question_agency,question_agency_2_Lickert,10.0,99,1738.0,8.0,7.0,4.0,15.0,0.2359135621316088,-0.04984036752712436,5
52,2,1,52,57,survey-likert,57,275334,2279.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,90,1714.0,11.0,9.0,12.0,15.0,0.24765777791110638,-0.14188653321772213,1
53,2,1,53,81,survey-likert,81,357687,2540.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,96,2398.0,6.0,6.0,8.0,29.0,-0.06828890162496112,0.039172508634489,2
51,2,1,51,109,survey-likert,109,453743,2201.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,99,3139.0,7.0,8.0,4.0,5.0,-0.2722245488258496,0.5469835552723441,3
50,2,1,50,181,survey-likert,181,714292,2108.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,3563.0,6.0,7.0,6.0,14.0,-0.06532031016781212,0.26865635854108966,4
54,2,1,54,197,survey-likert,197,770335,2195.0,100.0,1.0,question_agency,question_agency_2_Lickert,0.0,100,2174.0,8.0,7.0,3.0,9.0,-0.1900068118065675,0.4226712043943009,5
0,3,1,0,25,survey-likert,25,2444114,2466.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,5022.0,8.0,8.0,0.0,0.0,0.0,0.0,1
2,3,1,2,73,survey-likert,73,2625256,2525.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,2790.0,7.0,8.0,8.0,21.0,-0.21946773525853938,0.12389998295798156,2
4,3,1,4,141,survey-likert,141,2878587,2912.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,1550.0,9.0,7.0,0.0,0.0,0.0,0.0,3
3,3,1,3,157,survey-likert,157,2946934,5736.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,1941.0,6.0,11.0,0.0,0.0,0.0,0.0,4
1,3,1,1,233,survey-likert,233,3242340,2771.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,100,2056.0,5.0,5.0,0.0,0.0,0.0,0.0,5
9,3,1,9,61,survey-likert,61,2580222,7645.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,100,1728.0,8.0,6.0,0.0,0.0,0.0,0.0,1
8,3,1,8,81,survey-likert,81,2653700,4282.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,100,2260.0,11.0,9.0,4.0,32.0,0.28648500692120704,-0.2570187712965156,2
7,3,1,7,137,survey-likert,137,2864955,18604.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,100,1712.0,7.0,8.0,0.0,2.0,0.0,0.08221282485771221,3
6,3,1,6,189,survey-likert,189,3076809,2691.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,100,4457.0,11.0,5.0,0.0,0.0,0.0,0.0,4
5,3,1,5,237,survey-likert,237,3255790,2386.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,100,1723.0,6.0,7.0,0.0,0.0,0.0,0.0,5
12,3,1,12,45,survey-likert,45,2515735,3102.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,0,8126.0,11.0,8.0,0.0,0.0,0.0,0.0,1
10,3,1,10,101,survey-likert,101,2720715,1990.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,98,1803.0,7.0,7.0,7.0,28.0,0.012552583573966694,0.04572218554150595,2
14,3,1,14,145,survey-likert,145,2898489,9344.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,93,5756.0,8.0,5.0,8.0,6.0,-0.26044089034623685,-0.08759708839634373,3
13,3,1,13,169,survey-likert,169,3008499,6702.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,90,2448.0,4.0,5.0,0.0,0.0,0.0,0.0,4
11,3,1,11,229,survey-likert,229,3221156,2498.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,100,9405.0,8.0,7.0,0.0,0.0,0.0,0.0,5
18,3,1,18,29,survey-likert,29,2460144,1999.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,100,2694.0,5.0,6.0,0.0,0.0,0.0,0.0,1
19,3,1,19,89,survey-likert,89,2680267,2309.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,68,1322.0,8.0,5.0,2.0,17.0,0.461488123234263,-0.15399445715466056,2
17,3,1,17,109,survey-likert,109,2746339,2244.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,100,2521.0,9.0,7.0,10.0,3.0,-0.10264702461309906,0.050479367137207264,3
15,3,1,15,173,survey-likert,173,3022568,2612.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,94,2450.0,9.0,7.0,0.0,0.0,0.0,0.0,4
16,3,1,16,209,survey-likert,209,3153200,5157.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,64,2963.0,9.0,5.0,0.0,0.0,0.0,0.0,5
23,3,1,23,53,survey-likert,53,2548944,1999.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,100,1769.0,8.0,6.0,0.0,6.0,0.0,-0.19018421084664508,1
24,3,1,24,77,survey-likert,77,2638948,1892.0,100.0,0.4,question_agency,question_agency_2_Lickert,60.0,33,1463.0,10.0,6.0,3.0,4.0,0.370900593827948,0.20504379339684498,2
22,3,1,22,121,survey-likert,121,2786417,1397.0,100.0,0.4,question_agency,question_agency_2_Lickert,60.0,34,2236.0,5.0,5.0,8.0,13.0,-0.01868626086720673,0.16252719008823532,3
20,3,1,20,177,survey-likert,177,3036466,2442.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,100,2489.0,8.0,8.0,0.0,0.0,0.0,0.0,4
21,3,1,21,213,survey-likert,213,3167124,1952.0,0.0,0.4,question_agency,question_agency_2_Lickert,-40.0,100,2130.0,5.0,9.0,0.0,0.0,0.0,0.0,5
29,3,1,29,37,survey-likert,37,2487620,2115.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,43,1608.0,6.0,6.0,4.0,4.0,0.23830963781336836,0.26977588982378103,1
26,3,1,26,85,survey-likert,85,2667619,2653.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,26,1331.0,5.0,10.0,6.0,7.0,0.31240550790546256,0.13207405164107403,2
25,3,1,25,149,survey-likert,149,2916084,2833.0,100.0,0.5,question_agency,question_agency_2_Lickert,50.0,25,1944.0,5.0,9.0,4.0,9.0,-0.39337277564841483,0.22522592398288913,3
27,3,1,27,185,survey-likert,185,3063504,2282.0,0.0,0.5,question_agency,question_agency_2_Lickert,-50.0,38,1607.0,5.0,6.0,0.0,0.0,0.0,0.0,4
